PUID,name,extension,containerDataFormat,category,outPuid,possibleOutPuid,outputDataFormat,keepOriginal
fmt/338,Interchange File Format Interleaved Bitmap,"iff,lbm",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,true
fmt/339,Interchange File Format 8-bit Sampled Voice,"8svx,iff",false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
fmt/340,Lotus WordPro Document Ver. (97/Millennium),lwp,false,Word Processing,fmt/477,fmt/477,false,false
fmt/341,Macintosh PICT Image Ver. (2.0),"pct,pic,pict",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/342,Microsoft Project Export File Ver. (4.0),mpx,false,Binary (Data),fmt/342,fmt/342,true,false
fmt/343,Microsoft Project Export File Ver. (3.0),mpx,false,Binary (Data),fmt/343,fmt/343,true,false
fmt/344,Microsoft Windows Enhanced Metafile Ver. (2.0),emf,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/345,Microsoft Windows Enhanced Metafile Ver. (3.0),emf,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/346,Microsoft Word for Macintosh Document Ver. (1.0),mcw,false,Word Processing,fmt/477,fmt/477,false,false
fmt/347,MPEG 1/2 Audio Layer I,mp1,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
fmt/348,Paint Shop Pro Image Ver. (9),pspimage,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/349,Paint Shop Pro Image Ver. (10),pspimage,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/350,Paradox Database Table Ver. (3.0),db,false,Database,fmt/101,fmt/101,false,false
fmt/351,Paradox Database Table Ver. (4.0),db,false,Database,fmt/101,fmt/101,false,false
fmt/352,Paradox Database Table Ver. (5.0),db,false,Database,fmt/101,fmt/101,false,false
fmt/353,Tagged Image File Format,"tif,tiff",false,Image (Raster),fmt/353,fmt/353,true,false
fmt/354,Acrobat PDF/A - Portable Document Format Ver. (1b),pdf,false,Portable Document Format,fmt/354,fmt/354,true,false
fmt/355,Rich Text Format Ver. (1.9),rtf,false,Word Processing,fmt/477,fmt/477,false,false
fmt/356,Adaptive Multi-Rate Audio,amr,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
fmt/357,3GPP Audio/Video File,"3gp,3gpp",false,Video,fmt/4,"fmt/4,fmt/649,fmt/640,fmt/199",false,false
fmt/358,Internet Data Query File,idq,false,Text (Source Code),fmt/358,fmt/358,true,false
fmt/359,Microsoft Front Page Binary Tree Index,btr,false,Text (Structured),fmt/477,fmt/477,false,false
fmt/360,pulse EKKO data file,dt1,false,GIS,fmt/477,"fmt/477,fmt/645,fmt/10,fmt/13",false,true
fmt/361,pulse EKKO header file,hd,false,GIS,fmt/477,"fmt/477,fmt/645,fmt/10,fmt/13",false,true
fmt/362,GSSI SIR-10 RADAN data file,dzt,false,GIS,fmt/477,"fmt/477,fmt/645,fmt/10,fmt/13",false,true
fmt/363,SEG Y Data Exchange Format Ver. (Generic),segy,false,Dataset,fmt/101,fmt/101,false,true
fmt/364,National Imagery Transmission Format Ver. (1.0),ntf,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/365,National Imagery Transmission Format Ver. (2.0),ntf,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/366,National Imagery Transmission Format Ver. (2.1),ntf,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/367,ESRI World File Format,"bilw,blw,bpw,btw,jgw,jpgw,pgw,rasterw,tfw,tifw",false,Image (Raster),fmt/367,fmt/367,true,true
fmt/368,ASPRS Lidar Data Exchange Format Ver. (1.0),"las,laz",false,GIS,fmt/368,fmt/368,true,true
fmt/369,ASPRS Lidar Data Exchange Format Ver. (1.1),"las,laz",false,GIS,fmt/369,fmt/369,true,true
fmt/370,ASPRS Lidar Data Exchange Format Ver. (1.2),"las,laz",false,GIS,fmt/370,fmt/370,true,true
fmt/371,Enhanced Compression Wavelet,ecw,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/372,Earth Resource Satellite Image Header Format,ers,false,GIS,fmt/477,"fmt/477,fmt/645,fmt/10,fmt/13",false,true
fmt/373,FoxPro Database Ver. (2.x),dbf,false,Database,fmt/101,fmt/101,false,false
fmt/374,Microsoft Visual FoxPro Database Table File,dbf,false,Database,fmt/101,fmt/101,false,false
fmt/375,FoxPro Compound Index File,cdx,false,Database,fmt/101,fmt/101,false,false
fmt/376,FoxPro Report,frx,false,Database,fmt/101,fmt/101,false,false
fmt/377,Microsoft Visual FoxPro Report,frx,false,Database,fmt/101,fmt/101,false,false
fmt/378,Chemical Draw Exchange Format,cdx,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/379,Microsoft Visual FoxPro Class Library,vcx,false,Database,fmt/101,fmt/101,false,false
fmt/380,Microsoft Visual FoxPro Project,pjx,false,Database,fmt/101,fmt/101,false,false
fmt/381,FoxPro Project,pjx,false,Database,fmt/101,fmt/101,false,false
fmt/382,Microsoft Visual FoxPro database container (table files),dbc,false,Database,fmt/101,fmt/101,false,true
fmt/384,Microsoft Visual FoxPro database container (memo files),dct,false,Database,fmt/101,fmt/101,false,false
fmt/383,VICAR (Video Image Communication and Retrieval) Planetary File Format,"img,vic,vicar",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/385,Microsoft Windows Cursor,cur,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/386,Microsoft Animated Cursor Format,ani,false,Video,fmt/4,"fmt/4,fmt/649,fmt/640,fmt/199",false,false
fmt/387,VCalendar format,vcs,false,Text (Structured),fmt/477,fmt/477,false,false
fmt/388,Internet Calendar and Scheduling format,ics,false,Text (Structured),fmt/477,fmt/477,false,false
fmt/389,Log ASCII Standard Format Ver. (1.2),las,false,Text (Structured),fmt/477,fmt/477,false,false
fmt/390,Log ASCII Standard Format Ver. (2.0),las,false,Text (Structured),fmt/477,fmt/477,false,false
fmt/391,Log ASCII Standard Format Ver. (3.0),las,false,Text (Structured),fmt/477,fmt/477,false,false
fmt/392,MrSID Image Format (Multi-resolution Seamless Image Database),sid,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/393,Borland Reflex flat datafile,rxd,false,Text (Structured),fmt/477,fmt/477,false,false
fmt/394,DS_store file (MAC),ds_store,false,Binary (Data),fmt/394,fmt/394,true,false
fmt/395,vCard,vcf,false,Text (Mark-up),fmt/477,fmt/477,false,true
fmt/396,PocketMobi (Palm Resource) File,"mobi,prc",false,Database,fmt/101,fmt/101,false,false
fmt/397,Enigma Binary File (Finale),mus,false,Binary (Data),fmt/397,fmt/397,true,false
fmt/398,Enigma Transportable File (Finale),etf,false,Text (Structured),fmt/477,fmt/477,false,false
fmt/399,Stuffit X Archive File,sitx,true,Package,fmt/399,fmt/399,false,false
fmt/400,Macromedia FreeHand MX Ver. (11),fh11,false,Image (Vector),fmt/477,fmt/477,false,true
